中文片名,外文片名,ID
春風勁草,About Dry Grasses,tt13231544
電影版 淘氣小企鵝啵樂樂 超級明星大冒險,Pororo Popstar Adventure,tt30422251
情牽浮生戲,Man Suang,tt28686328
金手指,The Goldfinger,tt14099796
窗邊的小荳荳,The Little Girl at the Window,tt28347814
愛情轉移,Passages,tt16252698
星願,Wish,tt11304740
法拉利,Ferrari,tt3758542
贖罪日之戰,Golda,tt14454876
巫術,Feed,tt20782072
送葬人,The Undertaker,tt29633446
寬鬆世代又怎樣：INTERNATIONAL,Yutori Desu ga Nani ka International,tt28635008
餓之必要,Club Zero,tt18235146
水行俠 失落王國,Aquaman and the Lost Kingdom,tt9663764
12.12：首爾之春,12.12: The Day,tt22507524
夜校,One Night at School,tt29244335
青春豬頭少年不會夢到紅書包女孩,Rascal Does Not Dream of a Knapsack Kid,tt28036417
鬼6怨,Tastes of Horror,tt28995831
荒漠斷背情,Strange Way of Life,tt13055264
人犬,Dogman,tt17009348
愛是一把槍,Love Is a Gun,tt28484838
年少日記,Time Still Turns the Pages,tt27881474
小曉,Xiao xiao,tt29566160
魔髮精靈：樂團在一起,Trolls Band Together,tt14362112
歡迎來到駒田蒸餾所,Komada - A Whisky Family,tt27626792
鄰人Ｘ：謎樣的女子,Rinjin X,tt28959468
花腐,A Spoiling Rain,tt28756694
夢行者保羅,Dream Scenario,tt21942866
絕地追擊,Raid on the Lethal Zone,tt26935935
旺卡,Wonka,tt6166392
無聲夜,Silent Night,tt15799866
富都青年,Abang Adik,tt27445004
屍禁,Sewu Dino,tt23136186
拿破崙,Napoleon,tt13287846
下一球，勝利,Next Goal Wins,tt10767052
阿爾及爾的末代王后,The Last Queen,tt18039808
飢餓遊戲：鳴鳥與游蛇之歌,The Hunger Games: The Ballad of Songbirds & Snakes,tt10545296
少男少女,Shao nan shao nü,tt29115028
撼山河 撼向世界,Han shan he han xiang shi jie,tt29236840
電影版 勿說是推理,Don't Call it Mystery: The Movie,tt27554389
天一亮，就想見到你,You Made My Dawn,tt28259022
琳達想吃雞!,Linda veut du poulet!,tt21042126
茱莉亞四重奏,Le tourbillon de la vie,tt13729364
